"Source:","E:\Projects\4.4 IN9 Music Visualizer RevC\In9 Music Visualizer RevC\In9 Music Visualizer RevC.sch"
"Date:","8/29/2021 4:59:00 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"22","1","Q2","STF13NM60N","Device:Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","STF13NM60N"
"23","11","Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13","FZT857TA","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-223-3_TabPin2","FZT857TA"
"24","4","R1, R5, R6, R16","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RNCP0805FTD10K0"
"25","1","R2","69.8k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RC0805FR-0769K8L"
"26","1","R3","330","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRGCQ0805F330R"
"27","1","R4","20k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRG0805F20K"
"28","1","R7","20","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RNCP0805FTD20R0"
"29","1","R8","180k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RMCF0805FT180K"
"30","1","R9","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RK73B2ATTD105J"
"31","1","R10","0.0","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RC0805JR-070RL"
"32","1","R11","1.6k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RC0805FR-071K6L"
"33","2","R12, R14","49.9k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RNCP0805FTD49K9"
"34","1","R13","39m","Device:R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","ERJ-8CWJR039V"
"35","1","R15","52.3k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RC0805FR-0752K3L"
"36","11","R17, R18, R19, R20, R21, R22, R29, R30, R31, R32, R33","2.2k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","RR1220P-222-D"
"37","11","R23, R24, R25, R26, R27, R28, R34, R35, R36, R37, R38","180","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","CRG0805F180R"
"38","1","U1","LMV358","Amplifier_Operational:LMV358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","LMV358ID"
"39","1","U2","LM3478","My_Library:LM3478","Package_SO:SO-8_3.9x4.9mm_P1.27mm","LM3478MAX/NOPB"
"40","1","U3","TPS352207","My_Library:TPS352207","Package_TO_SOT_SMD:SOT-563","TPS352207"
